quote_data_for_nifi.tr_date,quote_data_for_nifi.tr_time,quote_data_for_nifi.bid_price,quote_data_for_nifi.bid_size,quote_data_for_nifi.ask_price,quote_data_for_nifi.ask_size,quote_data_for_nifi.market_flag,quote_data_for_nifi.quote_condition,quote_data_for_nifi.contract_commodity,quote_data_for_nifi.contract_month,quote_data_for_nifi.contract_year,quote_data_for_nifi.contract_expiry_date,quote_data_for_nifi.symbol,quote_data_for_nifi.tr_year,quote_data_for_nifi.tr_month
2017-01-03,2017-01-03 11:43:18.278,53.8,36,53.82,48,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.297,53.95,14,53.96,6,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.278,53.8,36,53.82,49,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.301,53.95,17,53.96,6,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.278,53.8,35,53.82,49,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.301,53.95,18,53.96,6,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.278,53.8,34,53.82,49,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.301,53.95,19,53.96,6,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.278,53.8,34,53.82,48,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.301,53.95,20,53.96,6,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.278,53.8,35,53.82,48,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.306,53.95,20,53.96,5,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.283,53.8,34,53.82,48,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.306,53.95,21,53.96,5,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.283,53.8,35,53.82,48,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.306,53.95,21,53.96,4,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.283,53.8,36,53.82,48,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.306,53.95,20,53.96,4,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.29,53.8,37,53.82,48,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.306,53.95,22,53.96,4,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.348,53.8,19,53.82,48,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.311,53.95,22,53.96,1,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.352,53.8,19,53.81,12,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.311,53.95,23,53.96,1,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.352,53.8,19,53.81,14,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.311,53.95,23,53.97,48,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.352,53.8,16,53.81,14,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.311,53.95,23,53.97,49,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.352,53.8,14,53.81,14,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.346,53.95,28,53.97,49,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.352,53.8,14,53.81,15,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.401,53.95,28,53.97,48,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.352,53.8,14,53.81,16,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.425,53.95,31,53.97,48,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.352,53.8,14,53.81,21,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.425,53.95,31,53.97,44,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.352,53.8,14,53.81,24,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.425,53.95,33,53.97,44,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.352,53.8,14,53.81,25,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.425,53.95,34,53.97,44,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.355,53.8,13,53.81,25,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.425,53.95,34,53.97,41,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.355,53.8,10,53.81,25,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.425,53.95,34,53.97,40,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.355,53.8,10,53.81,27,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.425,53.95,35,53.97,40,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.355,53.8,10,53.81,28,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.425,53.95,35,53.97,39,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.355,53.8,10,53.81,30,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:30.425,53.95,38,53.97,39,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
